Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method
28,0.1,10,10,15,0.14746666666666666,0.15813333333333332,pca
28,0.1,10,1,15,0.14566666666666667,0.15813333333333332,pca
28,0.1,75,25,15,0.15693333333333334,0.15813333333333332,pca
28,0.1,75,5,15,0.15646666666666667,0.15813333333333332,pca
28,0.1,50,50,15,0.1534,0.15813333333333332,pca
28,0.1,30,5,15,0.15273333333333333,0.15813333333333332,pca
28,0.1,1,25,15,0.1318,0.15813333333333332,pca
28,0.1,50,1,15,0.15366666666666667,0.15813333333333332,pca
28,0.1,50,10,15,0.15426666666666666,0.15813333333333332,pca
28,0.2,1,5,15,0.23053333333333334,0.31406666666666666,pca
28,0.1,30,25,15,0.15266666666666667,0.15813333333333332,pca
28,0.1,10,50,15,0.1478,0.15813333333333332,pca
28,0.2,1,10,3,0.10566666666666667,0.165,pca
28,0.2,1,50,3,0.10566666666666667,0.165,pca
28,0.2,30,1,3,0.15866666666666668,0.165,pca
28,0.2,50,5,3,0.16766666666666666,0.165,dw_pmad
28,0.2,10,5,3,0.13066666666666665,0.165,pca
28,0.2,30,50,3,0.16266666666666665,0.165,pca
28,0.2,30,10,3,0.15433333333333332,0.165,pca
28,0.2,10,25,3,0.12866666666666668,0.165,pca
28,0.2,75,1,3,0.15633333333333332,0.165,pca
28,0.2,100,25,3,0.16033333333333333,0.165,pca
28,0.2,100,5,3,0.15633333333333332,0.165,pca
28,0.2,50,25,3,0.16533333333333333,0.165,dw_pmad
28,0.2,75,10,3,0.15766666666666668,0.165,pca
28,0.2,75,50,3,0.16633333333333333,0.165,dw_pmad
28,0.4,1,1,3,0.24466666666666667,0.404,pca
28,0.4,1,10,3,0.241,0.404,pca
28,0.2,1,10,6,0.14983333333333335,0.2195,pca
28,0.2,1,50,6,0.14833333333333334,0.2195,pca
28,0.2,30,1,6,0.21016666666666667,0.2195,pca
28,0.2,50,5,6,0.221,0.2195,dw_pmad
28,0.2,10,5,6,0.18166666666666667,0.2195,pca
28,0.2,30,50,6,0.21766666666666667,0.2195,pca
28,0.2,30,10,6,0.2135,0.2195,pca
28,0.2,10,25,6,0.18433333333333332,0.2195,pca
28,0.2,75,1,6,0.21366666666666667,0.2195,pca
28,0.2,100,25,6,0.2165,0.2195,pca
28,0.2,50,25,6,0.22016666666666668,0.2195,dw_pmad
28,0.2,100,5,6,0.21333333333333335,0.2195,pca
