Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method
28,0.2,70,10,10,0.2809,0.2655,dw_pmad
28,0.2,70,1,10,0.1594,0.2655,pca
28,0.2,70,50,10,0.2804,0.2655,dw_pmad
28,0.2,50,25,10,0.2781,0.2655,dw_pmad
28,0.1,100,1,15,0.15826666666666667,0.15813333333333332,dw_pmad
28,0.1,85,25,15,0.15853333333333333,0.15813333333333332,dw_pmad
28,0.1,70,10,15,0.15526666666666666,0.15813333333333332,pca
28,0.1,85,5,15,0.15866666666666668,0.15813333333333332,dw_pmad
28,0.1,100,50,15,0.15786666666666666,0.15813333333333332,pca
28,0.1,100,10,15,0.1578,0.15813333333333332,pca
28,0.1,70,50,15,0.15533333333333332,0.15813333333333332,pca
28,0.1,50,25,15,0.15273333333333333,0.15813333333333332,pca
28,0.1,50,5,15,0.153,0.15813333333333332,pca
28,0.1,70,1,15,0.1554,0.15813333333333332,pca
28,0.2,85,5,15,0.3287333333333333,0.31406666666666666,dw_pmad
28,0.2,50,5,15,0.3237333333333333,0.31406666666666666,dw_pmad
28,0.2,70,10,15,0.33026666666666665,0.31406666666666666,dw_pmad
28,0.2,70,1,15,0.20626666666666665,0.31406666666666666,pca
28,0.2,70,50,15,0.3297333333333333,0.31406666666666666,dw_pmad
28,0.2,50,25,15,0.32153333333333334,0.31406666666666666,dw_pmad
28,0.2,100,5,3,0.165,0.165,pca
28,0.2,100,25,3,0.164,0.165,pca
28,0.2,85,10,3,0.164,0.165,pca
28,0.2,85,50,3,0.164,0.165,pca
28,0.4,50,1,3,0.15266666666666667,0.404,pca
28,0.4,70,5,3,0.398,0.404,pca
28,0.4,50,10,3,0.4033333333333333,0.404,pca
28,0.4,50,50,3,0.4033333333333333,0.404,pca
28,0.4,100,5,3,0.407,0.404,dw_pmad
28,0.4,85,50,3,0.3933333333333333,0.404,pca
28,0.4,100,25,3,0.407,0.404,dw_pmad
28,0.4,70,25,3,0.4066666666666667,0.404,dw_pmad
28,0.4,85,1,3,0.17466666666666666,0.404,pca
28,0.4,85,10,3,0.4033333333333333,0.404,pca
28,0.2,100,5,6,0.22133333333333333,0.2195,dw_pmad
28,0.2,100,25,6,0.22116666666666668,0.2195,dw_pmad
28,0.2,85,10,6,0.2265,0.2195,dw_pmad
28,0.2,85,50,6,0.23316666666666666,0.2195,dw_pmad
28,0.4,50,1,6,0.2055,0.4655,pca
28,0.4,70,5,6,0.472,0.4655,dw_pmad
28,0.4,50,10,6,0.4671666666666667,0.4655,dw_pmad
28,0.4,50,50,6,0.467,0.4655,dw_pmad
28,0.4,85,50,6,0.4655,0.4655,pca
28,0.4,100,5,6,0.4666666666666667,0.4655,dw_pmad
28,0.4,100,25,6,0.4688333333333333,0.4655,dw_pmad
28,0.4,70,25,6,0.4703333333333333,0.4655,dw_pmad
28,0.4,85,1,6,0.2315,0.4655,pca
28,0.4,85,10,6,0.47333333333333333,0.4655,dw_pmad
28,0.6,50,1,3,0.14833333333333334,0.5966666666666667,pca
28,0.6,50,10,3,0.5923333333333334,0.5966666666666667,pca
28,0.2,100,5,10,0.266,0.2655,dw_pmad
28,0.2,85,10,10,0.2768,0.2655,dw_pmad
28,0.2,100,25,10,0.2647,0.2655,pca
28,0.2,85,50,10,0.2803,0.2655,dw_pmad
28,0.4,50,1,10,0.2447,0.512,pca
28,0.4,70,5,10,0.5176,0.512,dw_pmad
28,0.4,50,10,10,0.5166,0.512,dw_pmad
28,0.4,50,50,10,0.513,0.512,dw_pmad
28,0.4,85,50,10,0.5134,0.512,dw_pmad
28,0.4,100,5,10,0.5127,0.512,dw_pmad
28,0.4,100,25,10,0.5135,0.512,dw_pmad
28,0.4,70,25,10,0.5143,0.512,dw_pmad
28,0.4,85,1,10,0.2784,0.512,pca
28,0.4,85,10,10,0.5169,0.512,dw_pmad
28,0.2,100,5,15,0.31293333333333334,0.31406666666666666,pca
28,0.2,85,10,15,0.31906666666666667,0.31406666666666666,dw_pmad
28,0.2,100,25,15,0.31366666666666665,0.31406666666666666,pca
28,0.2,85,50,15,0.321,0.31406666666666666,dw_pmad
28,0.4,50,1,15,0.28813333333333335,0.5480666666666667,pca
28,0.4,70,5,15,0.5534666666666667,0.5480666666666667,dw_pmad
28,0.4,50,10,15,0.5574,0.5480666666666667,dw_pmad
28,0.4,50,50,15,0.5522666666666667,0.5480666666666667,dw_pmad
28,0.4,85,50,15,0.5556,0.5480666666666667,dw_pmad
28,0.4,100,25,15,0.5496666666666666,0.5480666666666667,dw_pmad
28,0.4,100,5,15,0.5477333333333333,0.5480666666666667,pca
28,0.4,70,25,15,0.5491333333333334,0.5480666666666667,dw_pmad
28,0.4,85,10,15,0.5549333333333333,0.5480666666666667,dw_pmad
28,0.4,85,1,15,0.31466666666666665,0.5480666666666667,pca
28,0.6,50,1,6,0.18983333333333333,0.6483333333333333,pca
28,0.6,50,10,6,0.655,0.6483333333333333,dw_pmad
28,0.2,100,10,3,0.165,0.165,pca
28,0.2,100,50,3,0.16566666666666666,0.165,dw_pmad
28,0.2,85,25,3,0.16066666666666668,0.165,pca
28,0.2,100,1,3,0.165,0.165,pca
28,0.4,100,1,3,0.404,0.404,pca
28,0.4,100,50,3,0.39766666666666667,0.404,pca
28,0.4,100,10,3,0.402,0.404,pca
28,0.4,70,1,3,0.09066666666666667,0.404,pca
28,0.4,70,10,3,0.3983333333333333,0.404,pca
28,0.4,50,5,3,0.408,0.404,dw_pmad
28,0.4,85,5,3,0.4003333333333333,0.404,pca
28,0.4,85,25,3,0.4003333333333333,0.404,pca
28,0.4,70,50,3,0.4076666666666667,0.404,dw_pmad
28,0.4,50,25,3,0.4013333333333333,0.404,pca
28,0.2,100,10,6,0.22066666666666668,0.2195,dw_pmad
28,0.2,100,50,6,0.2215,0.2195,dw_pmad
28,0.2,85,25,6,0.222,0.2195,dw_pmad
28,0.2,100,1,6,0.22016666666666668,0.2195,dw_pmad
28,0.4,100,1,6,0.46416666666666667,0.4655,pca
28,0.4,100,50,6,0.458,0.4655,pca
28,0.4,100,10,6,0.464,0.4655,pca
28,0.4,70,1,6,0.12233333333333334,0.4655,pca
28,0.4,70,10,6,0.462,0.4655,pca
28,0.4,50,5,6,0.4681666666666667,0.4655,dw_pmad
28,0.4,85,5,6,0.4676666666666667,0.4655,dw_pmad
28,0.4,85,25,6,0.4653333333333333,0.4655,pca
28,0.4,70,50,6,0.473,0.4655,dw_pmad
28,0.4,50,25,6,0.471,0.4655,dw_pmad
28,0.6,50,1,10,0.228,0.6829,pca
28,0.6,50,10,10,0.6842,0.6829,dw_pmad
28,0.2,100,10,10,0.2658,0.2655,dw_pmad
28,0.2,100,50,10,0.2661,0.2655,dw_pmad
28,0.2,85,25,10,0.2766,0.2655,dw_pmad
28,0.2,100,1,10,0.2655,0.2655,pca
28,0.4,100,1,10,0.5124,0.512,dw_pmad
28,0.4,100,50,10,0.5071,0.512,pca
28,0.4,100,10,10,0.5107,0.512,pca
28,0.4,70,1,10,0.157,0.512,pca
28,0.4,70,10,10,0.5094,0.512,pca
28,0.4,50,5,10,0.5169,0.512,dw_pmad
28,0.4,85,5,10,0.5209,0.512,dw_pmad
28,0.4,85,25,10,0.514,0.512,dw_pmad
28,0.4,70,50,10,0.518,0.512,dw_pmad
28,0.4,50,25,10,0.516,0.512,dw_pmad
28,0.2,100,10,15,0.3142,0.31406666666666666,dw_pmad
28,0.2,100,50,15,0.31353333333333333,0.31406666666666666,pca
28,0.2,85,25,15,0.31953333333333334,0.31406666666666666,dw_pmad
28,0.2,100,1,15,0.314,0.31406666666666666,pca
28,0.4,100,1,15,0.5478666666666666,0.5480666666666667,pca
28,0.4,100,50,15,0.5433333333333333,0.5480666666666667,pca
28,0.4,100,10,15,0.5482,0.5480666666666667,dw_pmad
28,0.4,70,1,15,0.19806666666666667,0.5480666666666667,pca
28,0.4,70,10,15,0.5456666666666666,0.5480666666666667,pca
28,0.4,50,5,15,0.5573333333333333,0.5480666666666667,dw_pmad
28,0.4,85,25,15,0.5539333333333334,0.5480666666666667,dw_pmad
28,0.4,85,5,15,0.5582666666666667,0.5480666666666667,dw_pmad
28,0.4,70,50,15,0.5560666666666667,0.5480666666666667,dw_pmad
28,0.4,50,25,15,0.5579333333333333,0.5480666666666667,dw_pmad
28,0.6,50,1,15,0.2684,0.7140666666666666,pca
28,0.6,50,10,15,0.7114,0.7140666666666666,pca
28,0.6,70,5,3,0.5973333333333334,0.5966666666666667,dw_pmad
28,0.6,70,25,3,0.6003333333333334,0.5966666666666667,dw_pmad
28,0.6,50,50,3,0.5843333333333334,0.5966666666666667,pca
28,0.6,85,1,3,0.166,0.5966666666666667,pca
28,0.6,100,5,3,0.596,0.5966666666666667,pca
28,0.6,100,25,3,0.597,0.5966666666666667,dw_pmad
28,0.6,85,10,3,0.5913333333333334,0.5966666666666667,pca
28,0.6,85,50,3,0.596,0.5966666666666667,pca
28,0.6,50,5,3,0.5843333333333334,0.5966666666666667,pca
