Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
200,0.05,100,1,1,0.126666667,0.308333333,0.126666667,0.125,0.153333333,0.33,mds,154.5542435,0.108167245,17.43293887,0.394182682,0.293941108,8.218619833
200,0.05,100,1,3,0.145,0.408888889,0.155555556,0.143333333,0.182777778,0.421666667,mds,154.5542435,0.108167245,17.43293887,0.394182682,0.293941108,8.218619833
200,0.05,100,1,6,0.166666667,0.464166667,0.22,0.207222222,0.216944444,0.493333333,mds,154.5542435,0.108167245,17.43293887,0.394182682,0.293941108,8.218619833
200,0.05,100,1,10,0.207333333,0.5215,0.2775,0.258,0.257166667,0.556,mds,154.5542435,0.108167245,17.43293887,0.394182682,0.293941108,8.218619833
200,0.05,100,1,15,0.246222222,0.569,0.324,0.295666667,0.294111111,0.599888889,mds,154.5542435,0.108167245,17.43293887,0.394182682,0.293941108,8.218619833
200,0.05,100,6,1,0.126666667,0.308333333,0.126666667,0.125,0.153333333,0.33,mds,28.71635759,0.011517161,2.805824497,0.466513064,0.304437711,9.327669801
200,0.05,100,6,3,0.142777778,0.408888889,0.155555556,0.143333333,0.182777778,0.421666667,mds,28.71635759,0.011517161,2.805824497,0.466513064,0.304437711,9.327669801
200,0.05,100,6,6,0.175,0.464166667,0.22,0.207222222,0.216944444,0.493333333,mds,28.71635759,0.011517161,2.805824497,0.466513064,0.304437711,9.327669801
200,0.05,100,6,10,0.215833333,0.5215,0.2775,0.258,0.257166667,0.556,mds,28.71635759,0.011517161,2.805824497,0.466513064,0.304437711,9.327669801
200,0.05,100,6,15,0.253111111,0.569,0.324,0.295666667,0.294111111,0.599888889,mds,28.71635759,0.011517161,2.805824497,0.466513064,0.304437711,9.327669801
200,0.05,100,12,1,0.126666667,0.308333333,0.126666667,0.125,0.153333333,0.33,mds,43.41143279,0.011018855,2.785480033,0.335516084,0.297211417,9.453911379
200,0.05,100,12,3,0.142777778,0.408888889,0.155555556,0.143333333,0.182777778,0.421666667,mds,43.41143279,0.011018855,2.785480033,0.335516084,0.297211417,9.453911379
200,0.05,100,12,6,0.175555556,0.464166667,0.22,0.207222222,0.216944444,0.493333333,mds,43.41143279,0.011018855,2.785480033,0.335516084,0.297211417,9.453911379
200,0.05,100,12,10,0.216166667,0.5215,0.2775,0.258,0.257166667,0.556,mds,43.41143279,0.011018855,2.785480033,0.335516084,0.297211417,9.453911379
200,0.05,100,12,15,0.254666667,0.569,0.324,0.295666667,0.294111111,0.599888889,mds,43.41143279,0.011018855,2.785480033,0.335516084,0.297211417,9.453911379
200,0.05,100,18,1,0.125,0.308333333,0.126666667,0.125,0.153333333,0.33,mds,32.04871017,0.021406722,2.815351994,0.341931009,0.324274657,9.267446358
200,0.05,100,18,3,0.142222222,0.408888889,0.155555556,0.143333333,0.182777778,0.421666667,mds,32.04871017,0.021406722,2.815351994,0.341931009,0.324274657,9.267446358
200,0.05,100,18,6,0.175277778,0.464166667,0.22,0.207222222,0.216944444,0.493333333,mds,32.04871017,0.021406722,2.815351994,0.341931009,0.324274657,9.267446358
200,0.05,100,18,10,0.212333333,0.5215,0.2775,0.258,0.257166667,0.556,mds,32.04871017,0.021406722,2.815351994,0.341931009,0.324274657,9.267446358
200,0.05,100,18,15,0.252777778,0.569,0.324,0.295666667,0.294111111,0.599888889,mds,32.04871017,0.021406722,2.815351994,0.341931009,0.324274657,9.267446358
200,0.05,100,25,1,0.128333333,0.308333333,0.126666667,0.125,0.153333333,0.33,mds,23.13040862,0.010790602,2.820373259,0.317847775,0.280649476,8.183859133
200,0.05,100,25,3,0.14,0.408888889,0.155555556,0.143333333,0.182777778,0.421666667,mds,23.13040862,0.010790602,2.820373259,0.317847775,0.280649476,8.183859133
200,0.05,100,25,6,0.173611111,0.464166667,0.22,0.207222222,0.216944444,0.493333333,mds,23.13040862,0.010790602,2.820373259,0.317847775,0.280649476,8.183859133
200,0.05,100,25,10,0.212666667,0.5215,0.2775,0.258,0.257166667,0.556,mds,23.13040862,0.010790602,2.820373259,0.317847775,0.280649476,8.183859133
200,0.05,100,25,15,0.250111111,0.569,0.324,0.295666667,0.294111111,0.599888889,mds,23.13040862,0.010790602,2.820373259,0.317847775,0.280649476,8.183859133
200,0.05,100,35,1,0.115,0.308333333,0.126666667,0.125,0.153333333,0.33,mds,33.6990725,0.010065881,2.785994422,0.356391816,0.287916605,9.274810503
200,0.05,100,35,3,0.139444444,0.408888889,0.155555556,0.143333333,0.182777778,0.421666667,mds,33.6990725,0.010065881,2.785994422,0.356391816,0.287916605,9.274810503
200,0.05,100,35,6,0.168888889,0.464166667,0.22,0.207222222,0.216944444,0.493333333,mds,33.6990725,0.010065881,2.785994422,0.356391816,0.287916605,9.274810503
200,0.05,100,35,10,0.207333333,0.5215,0.2775,0.258,0.257166667,0.556,mds,33.6990725,0.010065881,2.785994422,0.356391816,0.287916605,9.274810503
200,0.05,100,35,15,0.246666667,0.569,0.324,0.295666667,0.294111111,0.599888889,mds,33.6990725,0.010065881,2.785994422,0.356391816,0.287916605,9.274810503
200,0.05,100,50,1,0.116666667,0.308333333,0.126666667,0.125,0.153333333,0.33,mds,15.40132815,0.010018965,2.783770703,0.322079482,0.395801475,8.087995259
200,0.05,100,50,3,0.138333333,0.408888889,0.155555556,0.143333333,0.182777778,0.421666667,mds,15.40132815,0.010018965,2.783770703,0.322079482,0.395801475,8.087995259
200,0.05,100,50,6,0.1675,0.464166667,0.22,0.207222222,0.216944444,0.493333333,mds,15.40132815,0.010018965,2.783770703,0.322079482,0.395801475,8.087995259
200,0.05,100,50,10,0.205,0.5215,0.2775,0.258,0.257166667,0.556,mds,15.40132815,0.010018965,2.783770703,0.322079482,0.395801475,8.087995259
