Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
200,0.05,100,50,3,0.308333333,0.424444444,0.360555556,0.431111111,0.416111111,0.442777778,mds,23.91116444,0.015518467,2.048368209,0.228782225,0.221419199,6.926285591
200,0.05,100,50,6,0.311944444,0.464444444,0.451111111,0.530555556,0.437222222,0.489444444,isomap,23.91116444,0.015518467,2.048368209,0.228782225,0.221419199,6.926285591
200,0.05,100,50,10,0.318333333,0.5075,0.510333333,0.519333333,0.444,0.535333333,mds,23.91116444,0.015518467,2.048368209,0.228782225,0.221419199,6.926285591
200,0.05,100,50,15,0.330333333,0.530555556,0.525777778,0.525333333,0.454111111,0.569333333,mds,23.91116444,0.015518467,2.048368209,0.228782225,0.221419199,6.926285591
200,0.05,100,10000,1,0.315,0.413333333,0.23,0.328333333,0.393333333,0.43,mds,26.60192037,0.009556548,2.055023975,0.230577192,0.438186616,6.682229799
200,0.05,100,10000,3,0.307777778,0.424444444,0.360555556,0.431111111,0.416111111,0.442777778,mds,26.60192037,0.009556548,2.055023975,0.230577192,0.438186616,6.682229799
200,0.05,100,10000,6,0.311944444,0.464444444,0.451111111,0.530555556,0.437222222,0.489444444,isomap,26.60192037,0.009556548,2.055023975,0.230577192,0.438186616,6.682229799
200,0.05,100,10000,10,0.318333333,0.5075,0.510333333,0.519333333,0.444,0.535333333,mds,26.60192037,0.009556548,2.055023975,0.230577192,0.438186616,6.682229799
200,0.05,100,10000,15,0.330333333,0.530555556,0.525777778,0.525333333,0.454111111,0.569333333,mds,26.60192037,0.009556548,2.055023975,0.230577192,0.438186616,6.682229799
200,0.1,100,1,1,0.465,0.541666667,0.201666667,0.373333333,0.526666667,0.541666667,pca,43.86372711,0.010235052,2.275430801,0.333819021,1.283484592,7.084315848
200,0.1,100,1,3,0.445555556,0.551111111,0.342777778,0.498333333,0.550555556,0.585,mds,43.86372711,0.010235052,2.275430801,0.333819021,1.283484592,7.084315848
200,0.1,100,1,6,0.4425,0.587222222,0.441666667,0.598888889,0.543611111,0.629444444,mds,43.86372711,0.010235052,2.275430801,0.333819021,1.283484592,7.084315848
200,0.1,100,1,10,0.4495,0.617666667,0.5005,0.575333333,0.544333333,0.652666667,mds,43.86372711,0.010235052,2.275430801,0.333819021,1.283484592,7.084315848
200,0.1,100,1,15,0.459666667,0.647888889,0.524111111,0.565222222,0.551666667,0.671222222,mds,43.86372711,0.010235052,2.275430801,0.333819021,1.283484592,7.084315848
200,0.1,100,6,1,0.466666667,0.541666667,0.201666667,0.373333333,0.526666667,0.541666667,pca,54.35412331,0.00979318,2.258672107,1.580181545,0.208243659,6.959576222
200,0.1,100,6,3,0.445555556,0.551111111,0.342777778,0.498333333,0.550555556,0.585,mds,54.35412331,0.00979318,2.258672107,1.580181545,0.208243659,6.959576222
200,0.1,100,6,6,0.441111111,0.587222222,0.441666667,0.598888889,0.543611111,0.629444444,mds,54.35412331,0.00979318,2.258672107,1.580181545,0.208243659,6.959576222
200,0.1,100,6,10,0.447,0.617666667,0.5005,0.575333333,0.544333333,0.652666667,mds,54.35412331,0.00979318,2.258672107,1.580181545,0.208243659,6.959576222
200,0.1,100,6,15,0.457555556,0.647888889,0.524111111,0.565222222,0.551666667,0.671222222,mds,54.35412331,0.00979318,2.258672107,1.580181545,0.208243659,6.959576222
200,0.1,100,12,1,0.463333333,0.541666667,0.201666667,0.373333333,0.526666667,0.541666667,pca,22.03228604,0.007285983,2.220686629,0.238039678,0.260313301,7.144655017
200,0.1,100,12,3,0.444444444,0.551111111,0.342777778,0.498333333,0.550555556,0.585,mds,22.03228604,0.007285983,2.220686629,0.238039678,0.260313301,7.144655017
200,0.1,100,12,6,0.442777778,0.587222222,0.441666667,0.598888889,0.543611111,0.629444444,mds,22.03228604,0.007285983,2.220686629,0.238039678,0.260313301,7.144655017
200,0.1,100,12,10,0.448833333,0.617666667,0.5005,0.575333333,0.544333333,0.652666667,mds,22.03228604,0.007285983,2.220686629,0.238039678,0.260313301,7.144655017
200,0.1,100,12,15,0.457777778,0.647888889,0.524111111,0.565222222,0.551666667,0.671222222,mds,22.03228604,0.007285983,2.220686629,0.238039678,0.260313301,7.144655017
200,0.1,100,18,1,0.465,0.541666667,0.201666667,0.373333333,0.526666667,0.541666667,pca,52.82511825,0.008753972,2.275133042,0.2373979,0.22587333,7.080723688
200,0.1,100,18,3,0.442777778,0.551111111,0.342777778,0.498333333,0.550555556,0.585,mds,52.82511825,0.008753972,2.275133042,0.2373979,0.22587333,7.080723688
200,0.1,100,18,6,0.444722222,0.587222222,0.441666667,0.598888889,0.543611111,0.629444444,mds,52.82511825,0.008753972,2.275133042,0.2373979,0.22587333,7.080723688
200,0.1,100,18,10,0.452166667,0.617666667,0.5005,0.575333333,0.544333333,0.652666667,mds,52.82511825,0.008753972,2.275133042,0.2373979,0.22587333,7.080723688
200,0.1,100,18,15,0.458222222,0.647888889,0.524111111,0.565222222,0.551666667,0.671222222,mds,52.82511825,0.008753972,2.275133042,0.2373979,0.22587333,7.080723688
200,0.1,100,25,1,0.465,0.541666667,0.201666667,0.373333333,0.526666667,0.541666667,pca,42.78807006,0.009100331,2.254177473,0.612768695,0.201202675,7.02114036
200,0.1,100,25,3,0.443333333,0.551111111,0.342777778,0.498333333,0.550555556,0.585,mds,42.78807006,0.009100331,2.254177473,0.612768695,0.201202675,7.02114036
200,0.1,100,25,6,0.445,0.587222222,0.441666667,0.598888889,0.543611111,0.629444444,mds,42.78807006,0.009100331,2.254177473,0.612768695,0.201202675,7.02114036
200,0.1,100,25,10,0.454166667,0.617666667,0.5005,0.575333333,0.544333333,0.652666667,mds,42.78807006,0.009100331,2.254177473,0.612768695,0.201202675,7.02114036
200,0.1,100,25,15,0.458444444,0.647888889,0.524111111,0.565222222,0.551666667,0.671222222,mds,42.78807006,0.009100331,2.254177473,0.612768695,0.201202675,7.02114036
200,0.1,100,35,1,0.463333333,0.541666667,0.201666667,0.373333333,0.526666667,0.541666667,pca,49.94424916,0.007853736,2.243329123,2.383341412,1.491107402,6.876780836
200,0.1,100,35,3,0.442222222,0.551111111,0.342777778,0.498333333,0.550555556,0.585,mds,49.94424916,0.007853736,2.243329123,2.383341412,1.491107402,6.876780836
200,0.1,100,35,6,0.4425,0.587222222,0.441666667,0.598888889,0.543611111,0.629444444,mds,49.94424916,0.007853736,2.243329123,2.383341412,1.491107402,6.876780836
200,0.1,100,35,10,0.449833333,0.617666667,0.5005,0.575333333,0.544333333,0.652666667,mds,49.94424916,0.007853736,2.243329123,2.383341412,1.491107402,6.876780836
200,0.1,100,35,15,0.455555556,0.647888889,0.524111111,0.565222222,0.551666667,0.671222222,mds,49.94424916,0.007853736,2.243329123,2.383341412,1.491107402,6.876780836
200,0.1,100,50,1,0.466666667,0.541666667,0.201666667,0.373333333,0.526666667,0.541666667,pca,35.90179679,0.00893774,2.249554367,0.251449176,1.128355811,6.851754322
200,0.1,100,50,3,0.442777778,0.551111111,0.342777778,0.498333333,0.550555556,0.585,mds,35.90179679,0.00893774,2.249554367,0.251449176,1.128355811,6.851754322
200,0.1,100,50,6,0.445277778,0.587222222,0.441666667,0.598888889,0.543611111,0.629444444,mds,35.90179679,0.00893774,2.249554367,0.251449176,1.128355811,6.851754322
200,0.1,100,50,10,0.451666667,0.617666667,0.5005,0.575333333,0.544333333,0.652666667,mds,35.90179679,0.00893774,2.249554367,0.251449176,1.128355811,6.851754322
200,0.1,100,50,15,0.456111111,0.647888889,0.524111111,0.565222222,0.551666667,0.671222222,mds,35.90179679,0.00893774,2.249554367,0.251449176,1.128355811,6.851754322
