Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
28,0.05,75,3,1,0.02,0.02,0.01,0.0,0.013333333333333334,0.006666666666666667,dw_pmad,0.8696188000030816,0.2105963000212796,25.485577499959618,2.603010999970138,0.3540781000046991,0.8957534999935888
28,0.05,75,28,1,0.02,0.02,0.01,0.0,0.013333333333333334,0.006666666666666667,dw_pmad,0.844763100030832,0.28176929999608546,25.437171099998523,2.5864572999998927,0.5185432999860495,0.7669507000246085
28,0.05,75,42,1,0.02,0.02,0.01,0.0,0.013333333333333334,0.006666666666666667,dw_pmad,1.0317425999674015,0.58804100000998,25.888115000037942,2.7779977999744006,0.6219253999879584,0.8694515000097454
28,0.05,80,20,1,0.016666666666666666,0.02,0.01,0.0,0.013333333333333334,0.006666666666666667,pca,0.7207206000457518,0.39604640001198277,26.48421669995878,2.852864399959799,0.5485692999791354,0.905797999992501
28,0.05,80,35,1,0.016666666666666666,0.02,0.01,0.0,0.013333333333333334,0.006666666666666667,pca,0.7694068999844603,0.5510472999885678,25.11055690003559,2.761037699994631,0.4112055000150576,0.9729791999561712
28,0.05,80,8,1,0.016666666666666666,0.02,0.01,0.0,0.013333333333333334,0.006666666666666667,pca,0.8067866999772377,0.3763215000508353,26.482382600021083,2.6042123999795876,0.6141968999872915,1.0442278999835253
28,0.05,75,14,1,0.02,0.02,0.01,0.0,0.013333333333333334,0.006666666666666667,dw_pmad,0.8678845000104047,0.36708689999068156,25.632091099978425,2.5371670000022277,0.5340073000406846,0.9295752000180073
28,0.1,75,42,1,0.013333333333333334,0.023333333333333334,0.023333333333333334,0.016666666666666666,0.02666666666666667,0.01,kernel_pca,7.497558299975935,0.2841245000017807,24.58612550003454,2.0730927999829873,0.26932989998022094,54.597082399996
28,0.1,80,20,1,0.01,0.023333333333333334,0.023333333333333334,0.016666666666666666,0.02666666666666667,0.01,kernel_pca,8.347860799985938,0.36283519997959957,23.96810280001955,1.7616759999655187,0.2350628999993205,54.443947899970226
28,0.1,75,3,1,0.013333333333333334,0.023333333333333334,0.023333333333333334,0.016666666666666666,0.02666666666666667,0.01,kernel_pca,5.310309800028335,0.2948515000171028,26.59181830001762,2.1757255000411533,0.2955187000334263,54.82735939999111
28,0.1,75,28,1,0.013333333333333334,0.023333333333333334,0.023333333333333334,0.016666666666666666,0.02666666666666667,0.01,kernel_pca,7.467011800035834,0.3480736999772489,26.379576100036502,1.3623071000329219,0.19930479995673522,54.09646840003552
28,0.1,75,14,1,0.013333333333333334,0.023333333333333334,0.023333333333333334,0.016666666666666666,0.02666666666666667,0.01,kernel_pca,9.191907400032505,0.5809860000154004,25.963339300011285,1.350772199977655,0.09193539997795597,53.59697249997407
28,0.1,80,8,1,0.01,0.023333333333333334,0.023333333333333334,0.016666666666666666,0.02666666666666667,0.01,kernel_pca,8.724575000000186,0.4802636999520473,26.39496159995906,1.2038035999867134,0.08976199995959178,53.623862400010694
28,0.1,80,35,1,0.01,0.023333333333333334,0.023333333333333334,0.016666666666666666,0.02666666666666667,0.01,kernel_pca,11.29779119999148,0.39570689998799935,24.576585999981035,1.3294282999704592,0.09104539995314553,53.95386609999696
28,0.2,75,3,1,0.11666666666666667,0.08666666666666667,0.13333333333333333,0.11333333333333333,0.08666666666666667,0.08333333333333333,umap,28.485779299982823,0.3725183000206016,20.599890100013,0.6281977000180632,0.06866739998804405,91.16708499996457
28,0.05,75,3,3,0.035555555555555556,0.03111111111111111,0.03666666666666667,0.03,0.03111111111111111,0.017777777777777778,umap,0.8696188000030816,0.2105963000212796,25.485577499959618,2.603010999970138,0.3540781000046991,0.8957534999935888
28,0.05,80,35,3,0.027777777777777776,0.03111111111111111,0.03666666666666667,0.03,0.03111111111111111,0.017777777777777778,umap,0.7694068999844603,0.5510472999885678,25.11055690003559,2.761037699994631,0.4112055000150576,0.9729791999561712
28,0.05,75,28,3,0.035555555555555556,0.03111111111111111,0.03666666666666667,0.03,0.03111111111111111,0.017777777777777778,umap,0.844763100030832,0.28176929999608546,25.437171099998523,2.5864572999998927,0.5185432999860495,0.7669507000246085
28,0.05,75,42,3,0.035555555555555556,0.03111111111111111,0.03666666666666667,0.03,0.03111111111111111,0.017777777777777778,umap,1.0317425999674015,0.58804100000998,25.888115000037942,2.7779977999744006,0.6219253999879584,0.8694515000097454
28,0.05,80,20,3,0.027777777777777776,0.03111111111111111,0.03666666666666667,0.03,0.03111111111111111,0.017777777777777778,umap,0.7207206000457518,0.39604640001198277,26.48421669995878,2.852864399959799,0.5485692999791354,0.905797999992501
28,0.05,80,8,3,0.027777777777777776,0.03111111111111111,0.03666666666666667,0.03,0.03111111111111111,0.017777777777777778,umap,0.8067866999772377,0.3763215000508353,26.482382600021083,2.6042123999795876,0.6141968999872915,1.0442278999835253
28,0.05,75,14,3,0.035555555555555556,0.03111111111111111,0.03666666666666667,0.03,0.03111111111111111,0.017777777777777778,umap,0.8678845000104047,0.36708689999068156,25.632091099978425,2.5371670000022277,0.5340073000406846,0.9295752000180073
28,0.1,80,20,3,0.044444444444444446,0.04888888888888889,0.10555555555555556,0.06555555555555556,0.044444444444444446,0.052222222222222225,umap,8.347860799985938,0.36283519997959957,23.96810280001955,1.7616759999655187,0.2350628999993205,54.443947899970226
