Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
50,0.05,100,10,1,0.10333333333333333,0.10333333333333333,0.03,0.07666666666666666,0.04666666666666667,0.05,dw_pmad,4.7409413999994285,0.024705299991182983,19.88229860001593,0.5365188999858219,0.009851599985267967,2.516217399999732
50,0.1,100,10,1,0.23333333333333334,0.23,0.12,0.12666666666666668,0.11,0.22,dw_pmad,29.450962899980368,0.011501500004669651,19.47122840001248,0.4816811999771744,0.01038900000276044,2.547931300010532
50,0.05,100,10,3,0.14555555555555555,0.14555555555555555,0.10333333333333333,0.11777777777777777,0.0811111111111111,0.10444444444444445,dw_pmad,4.7409413999994285,0.024705299991182983,19.88229860001593,0.5365188999858219,0.009851599985267967,2.516217399999732
50,0.2,100,10,1,0.4066666666666667,0.41,0.12333333333333334,0.13666666666666666,0.16666666666666666,0.4166666666666667,mds,89.78285879999748,0.006651799980318174,19.68737030000193,0.44441629998618737,0.022558500000741333,1.9133536999870557
50,0.1,100,10,3,0.31555555555555553,0.32222222222222224,0.2011111111111111,0.19333333333333333,0.16444444444444445,0.3377777777777778,mds,29.450962899980368,0.011501500004669651,19.47122840001248,0.4816811999771744,0.01038900000276044,2.547931300010532
50,0.05,100,10,6,0.2111111111111111,0.2088888888888889,0.17444444444444446,0.18388888888888888,0.1238888888888889,0.16666666666666666,dw_pmad,4.7409413999994285,0.024705299991182983,19.88229860001593,0.5365188999858219,0.009851599985267967,2.516217399999732
50,0.2,100,10,3,0.5066666666666667,0.5055555555555555,0.21888888888888888,0.24222222222222223,0.2611111111111111,0.5422222222222223,mds,89.78285879999748,0.006651799980318174,19.68737030000193,0.44441629998618737,0.022558500000741333,1.9133536999870557
50,0.1,100,10,6,0.4,0.39055555555555554,0.2916666666666667,0.2611111111111111,0.23944444444444443,0.4272222222222222,mds,29.450962899980368,0.011501500004669651,19.47122840001248,0.4816811999771744,0.01038900000276044,2.547931300010532
50,0.05,100,10,10,0.278,0.2776666666666667,0.25133333333333335,0.22766666666666666,0.16866666666666666,0.251,dw_pmad,4.7409413999994285,0.024705299991182983,19.88229860001593,0.5365188999858219,0.009851599985267967,2.516217399999732
50,0.2,100,10,6,0.5927777777777777,0.59,0.305,0.3416666666666667,0.32722222222222225,0.6277777777777778,mds,89.78285879999748,0.006651799980318174,19.68737030000193,0.44441629998618737,0.022558500000741333,1.9133536999870557
