Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method
50,0.05,100,8,1,0.07,0.07,0.2633333333333333,0.1,0.06,0.09,umap
50,0.05,100,7,1,0.07,0.07,0.2633333333333333,0.1,0.06,0.09,umap
50,0.05,100,6,1,0.07,0.07,0.2633333333333333,0.1,0.06,0.09,umap
50,0.05,100,5,1,0.07,0.07,0.2633333333333333,0.1,0.06,0.09,umap
50,0.05,100,3,1,0.07,0.07,0.2633333333333333,0.1,0.06,0.09,umap
50,0.05,100,4,1,0.07,0.07,0.2633333333333333,0.1,0.06,0.09,umap
50,0.1,100,3,1,0.23333333333333334,0.23666666666666666,0.39,0.19333333333333333,0.21333333333333335,0.27666666666666667,umap
50,0.1,100,5,1,0.22333333333333333,0.23666666666666666,0.39,0.19333333333333333,0.21333333333333335,0.27666666666666667,umap
50,0.1,100,7,1,0.23,0.23666666666666666,0.39,0.19333333333333333,0.21333333333333335,0.27666666666666667,umap
50,0.1,100,8,1,0.23333333333333334,0.23666666666666666,0.39,0.19333333333333333,0.21333333333333335,0.27666666666666667,umap
50,0.1,100,4,1,0.23333333333333334,0.23666666666666666,0.39,0.19333333333333333,0.21333333333333335,0.27666666666666667,umap
50,0.1,100,6,1,0.23333333333333334,0.23666666666666666,0.39,0.19333333333333333,0.21333333333333335,0.27666666666666667,umap
50,0.2,100,3,1,0.46,0.47,0.29,0.25,0.3566666666666667,0.4766666666666667,mds
50,0.2,100,5,1,0.47,0.47,0.29,0.25,0.3566666666666667,0.4766666666666667,mds
50,0.2,100,4,1,0.4766666666666667,0.47,0.29,0.25,0.3566666666666667,0.4766666666666667,dw_pmad
50,0.2,100,6,1,0.4633333333333333,0.47,0.29,0.25,0.3566666666666667,0.4766666666666667,mds
50,0.05,100,8,3,0.11222222222222222,0.11555555555555555,0.39444444444444443,0.1288888888888889,0.1322222222222222,0.14666666666666667,umap
50,0.05,100,7,3,0.11222222222222222,0.11555555555555555,0.39444444444444443,0.1288888888888889,0.1322222222222222,0.14666666666666667,umap
50,0.05,100,6,3,0.11222222222222222,0.11555555555555555,0.39444444444444443,0.1288888888888889,0.1322222222222222,0.14666666666666667,umap
50,0.05,100,5,3,0.11222222222222222,0.11555555555555555,0.39444444444444443,0.1288888888888889,0.1322222222222222,0.14666666666666667,umap
50,0.05,100,3,3,0.11222222222222222,0.11555555555555555,0.39444444444444443,0.1288888888888889,0.1322222222222222,0.14666666666666667,umap
50,0.05,100,4,3,0.11222222222222222,0.11555555555555555,0.39444444444444443,0.1288888888888889,0.1322222222222222,0.14666666666666667,umap
50,0.1,100,3,3,0.2922222222222222,0.2922222222222222,0.4577777777777778,0.29444444444444445,0.2966666666666667,0.3622222222222222,umap
50,0.1,100,5,3,0.2966666666666667,0.2922222222222222,0.4577777777777778,0.29444444444444445,0.2966666666666667,0.3622222222222222,umap
50,0.1,100,7,3,0.2877777777777778,0.2922222222222222,0.4577777777777778,0.29444444444444445,0.2966666666666667,0.3622222222222222,umap
50,0.1,100,8,3,0.31333333333333335,0.2922222222222222,0.4577777777777778,0.29444444444444445,0.2966666666666667,0.3622222222222222,umap
50,0.1,100,4,3,0.31444444444444447,0.2922222222222222,0.4577777777777778,0.29444444444444445,0.2966666666666667,0.3622222222222222,umap
50,0.1,100,6,3,0.31222222222222223,0.2922222222222222,0.4577777777777778,0.29444444444444445,0.2966666666666667,0.3622222222222222,umap
50,0.2,100,3,3,0.5466666666666666,0.5344444444444445,0.47,0.41888888888888887,0.4,0.5966666666666667,mds
50,0.2,100,5,3,0.5366666666666666,0.5344444444444445,0.47,0.41888888888888887,0.4,0.5966666666666667,mds
50,0.2,100,4,3,0.5433333333333333,0.5344444444444445,0.47,0.41888888888888887,0.4,0.5966666666666667,mds
50,0.2,100,6,3,0.5411111111111111,0.5344444444444445,0.47,0.41888888888888887,0.4,0.5966666666666667,mds
50,0.05,100,8,6,0.18388888888888888,0.18888888888888888,0.44277777777777777,0.20055555555555554,0.2,0.21,umap
50,0.05,100,7,6,0.18444444444444444,0.18888888888888888,0.44277777777777777,0.20055555555555554,0.2,0.21,umap
50,0.05,100,6,6,0.18444444444444444,0.18888888888888888,0.44277777777777777,0.20055555555555554,0.2,0.21,umap
50,0.05,100,5,6,0.18444444444444444,0.18888888888888888,0.44277777777777777,0.20055555555555554,0.2,0.21,umap
50,0.05,100,3,6,0.18444444444444444,0.18888888888888888,0.44277777777777777,0.20055555555555554,0.2,0.21,umap
50,0.05,100,4,6,0.18444444444444444,0.18888888888888888,0.44277777777777777,0.20055555555555554,0.2,0.21,umap
50,0.1,100,3,6,0.39611111111111114,0.39555555555555555,0.5072222222222222,0.3888888888888889,0.35777777777777775,0.44,umap
50,0.1,100,5,6,0.385,0.39555555555555555,0.5072222222222222,0.3888888888888889,0.35777777777777775,0.44,umap
50,0.1,100,7,6,0.3933333333333333,0.39555555555555555,0.5072222222222222,0.3888888888888889,0.35777777777777775,0.44,umap
50,0.1,100,8,6,0.4061111111111111,0.39555555555555555,0.5072222222222222,0.3888888888888889,0.35777777777777775,0.44,umap
50,0.1,100,4,6,0.4066666666666667,0.39555555555555555,0.5072222222222222,0.3888888888888889,0.35777777777777775,0.44,umap
50,0.1,100,6,6,0.40444444444444444,0.39555555555555555,0.5072222222222222,0.3888888888888889,0.35777777777777775,0.44,umap
