Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
200,0.05,100,50,1,0.365,0.388333333,0.155,0.208333333,0.368333333,0.341666667,pca,237.0842635,0.008681958,2.031626825,0.253775786,0.218326826,6.770943905
200,0.05,100,50,3,0.446111111,0.443888889,0.301111111,0.306666667,0.362777778,0.428333333,dw_pmad,237.0842635,0.008681958,2.031626825,0.253775786,0.218326826,6.770943905
200,0.05,100,50,6,0.504722222,0.508611111,0.406388889,0.408333333,0.427777778,0.490277778,pca,237.0842635,0.008681958,2.031626825,0.253775786,0.218326826,6.770943905
200,0.05,100,50,10,0.5555,0.561166667,0.483166667,0.4415,0.4805,0.538833333,pca,237.0842635,0.008681958,2.031626825,0.253775786,0.218326826,6.770943905
200,0.05,100,50,15,0.603888889,0.602111111,0.531666667,0.473,0.513777778,0.585888889,dw_pmad,237.0842635,0.008681958,2.031626825,0.253775786,0.218326826,6.770943905
200,0.05,100,10000,1,0.378333333,0.388333333,0.155,0.208333333,0.368333333,0.341666667,pca,239.7536088,0.013121154,2.028013766,0.293386813,0.202241401,6.713344024
200,0.05,100,10000,3,0.435555556,0.443888889,0.301111111,0.306666667,0.362777778,0.428333333,pca,239.7536088,0.013121154,2.028013766,0.293386813,0.202241401,6.713344024
200,0.05,100,10000,6,0.498611111,0.508611111,0.406388889,0.408333333,0.427777778,0.490277778,pca,239.7536088,0.013121154,2.028013766,0.293386813,0.202241401,6.713344024
200,0.05,100,10000,10,0.551833333,0.561166667,0.483166667,0.4415,0.4805,0.538833333,pca,239.7536088,0.013121154,2.028013766,0.293386813,0.202241401,6.713344024
200,0.05,100,10000,15,0.598222222,0.602111111,0.531666667,0.473,0.513777778,0.585888889,pca,239.7536088,0.013121154,2.028013766,0.293386813,0.202241401,6.713344024
200,0.1,100,1,1,0.543333333,0.55,0.146666667,0.238333333,0.435,0.458333333,pca,506.4974709,0.012125354,2.220547915,0.253030672,0.216833528,6.96424268
200,0.1,100,1,3,0.608888889,0.608888889,0.301111111,0.362777778,0.473333333,0.53,dw_pmad,506.4974709,0.012125354,2.220547915,0.253030672,0.216833528,6.96424268
200,0.1,100,1,6,0.679444444,0.675277778,0.412222222,0.474722222,0.53,0.584166667,dw_pmad,506.4974709,0.012125354,2.220547915,0.253030672,0.216833528,6.96424268
200,0.1,100,1,10,0.709666667,0.707666667,0.480666667,0.488833333,0.565333333,0.638,dw_pmad,506.4974709,0.012125354,2.220547915,0.253030672,0.216833528,6.96424268
200,0.1,100,1,15,0.747222222,0.747444444,0.530555556,0.506222222,0.599333333,0.675777778,pca,506.4974709,0.012125354,2.220547915,0.253030672,0.216833528,6.96424268
200,0.1,100,6,1,0.53,0.55,0.146666667,0.238333333,0.435,0.458333333,pca,492.9987454,0.010566502,2.176819263,0.340942284,0.217087185,6.910782645
200,0.1,100,6,3,0.608333333,0.608888889,0.301111111,0.362777778,0.473333333,0.53,pca,492.9987454,0.010566502,2.176819263,0.340942284,0.217087185,6.910782645
200,0.1,100,6,6,0.674444444,0.675277778,0.412222222,0.474722222,0.53,0.584166667,pca,492.9987454,0.010566502,2.176819263,0.340942284,0.217087185,6.910782645
200,0.1,100,6,10,0.707666667,0.707666667,0.480666667,0.488833333,0.565333333,0.638,dw_pmad,492.9987454,0.010566502,2.176819263,0.340942284,0.217087185,6.910782645
200,0.1,100,6,15,0.746333333,0.747444444,0.530555556,0.506222222,0.599333333,0.675777778,pca,492.9987454,0.010566502,2.176819263,0.340942284,0.217087185,6.910782645
200,0.1,100,12,1,0.551666667,0.55,0.146666667,0.238333333,0.435,0.458333333,dw_pmad,500.8066976,0.013595053,2.218559771,0.312481226,0.278340084,6.959854163
200,0.1,100,12,3,0.607222222,0.608888889,0.301111111,0.362777778,0.473333333,0.53,pca,500.8066976,0.013595053,2.218559771,0.312481226,0.278340084,6.959854163
200,0.1,100,12,6,0.678611111,0.675277778,0.412222222,0.474722222,0.53,0.584166667,dw_pmad,500.8066976,0.013595053,2.218559771,0.312481226,0.278340084,6.959854163
200,0.1,100,12,10,0.711166667,0.707666667,0.480666667,0.488833333,0.565333333,0.638,dw_pmad,500.8066976,0.013595053,2.218559771,0.312481226,0.278340084,6.959854163
200,0.1,100,12,15,0.744777778,0.747444444,0.530555556,0.506222222,0.599333333,0.675777778,pca,500.8066976,0.013595053,2.218559771,0.312481226,0.278340084,6.959854163
200,0.1,100,18,1,0.541666667,0.55,0.146666667,0.238333333,0.435,0.458333333,pca,503.6364825,0.009834058,2.18869209,0.290733813,0.251606202,7.007873025
200,0.1,100,18,3,0.607777778,0.608888889,0.301111111,0.362777778,0.473333333,0.53,pca,503.6364825,0.009834058,2.18869209,0.290733813,0.251606202,7.007873025
200,0.1,100,18,6,0.676388889,0.675277778,0.412222222,0.474722222,0.53,0.584166667,dw_pmad,503.6364825,0.009834058,2.18869209,0.290733813,0.251606202,7.007873025
200,0.1,100,18,10,0.713833333,0.707666667,0.480666667,0.488833333,0.565333333,0.638,dw_pmad,503.6364825,0.009834058,2.18869209,0.290733813,0.251606202,7.007873025
200,0.1,100,18,15,0.746666667,0.747444444,0.530555556,0.506222222,0.599333333,0.675777778,pca,503.6364825,0.009834058,2.18869209,0.290733813,0.251606202,7.007873025
200,0.1,100,25,1,0.531666667,0.55,0.146666667,0.238333333,0.435,0.458333333,pca,504.0032701,0.010295163,2.2436555,0.292568141,0.228594491,7.033907763
200,0.1,100,25,3,0.602222222,0.608888889,0.301111111,0.362777778,0.473333333,0.53,pca,504.0032701,0.010295163,2.2436555,0.292568141,0.228594491,7.033907763
200,0.1,100,25,6,0.676111111,0.675277778,0.412222222,0.474722222,0.53,0.584166667,dw_pmad,504.0032701,0.010295163,2.2436555,0.292568141,0.228594491,7.033907763
200,0.1,100,25,10,0.705,0.707666667,0.480666667,0.488833333,0.565333333,0.638,pca,504.0032701,0.010295163,2.2436555,0.292568141,0.228594491,7.033907763
200,0.1,100,25,15,0.748444444,0.747444444,0.530555556,0.506222222,0.599333333,0.675777778,dw_pmad,504.0032701,0.010295163,2.2436555,0.292568141,0.228594491,7.033907763
200,0.1,100,35,1,0.526666667,0.55,0.146666667,0.238333333,0.435,0.458333333,pca,497.9109383,0.010179453,2.173331798,0.271285074,0.227952685,6.975888929
200,0.1,100,35,3,0.609444444,0.608888889,0.301111111,0.362777778,0.473333333,0.53,dw_pmad,497.9109383,0.010179453,2.173331798,0.271285074,0.227952685,6.975888929
200,0.1,100,35,6,0.671111111,0.675277778,0.412222222,0.474722222,0.53,0.584166667,pca,497.9109383,0.010179453,2.173331798,0.271285074,0.227952685,6.975888929
200,0.1,100,35,10,0.711666667,0.707666667,0.480666667,0.488833333,0.565333333,0.638,dw_pmad,497.9109383,0.010179453,2.173331798,0.271285074,0.227952685,6.975888929
200,0.1,100,35,15,0.744777778,0.747444444,0.530555556,0.506222222,0.599333333,0.675777778,pca,497.9109383,0.010179453,2.173331798,0.271285074,0.227952685,6.975888929
200,0.1,100,50,1,0.541666667,0.55,0.146666667,0.238333333,0.435,0.458333333,pca,498.594043,0.010068235,2.236076963,0.225430773,0.242666764,7.007819328
200,0.1,100,50,3,0.611111111,0.608888889,0.301111111,0.362777778,0.473333333,0.53,dw_pmad,498.594043,0.010068235,2.236076963,0.225430773,0.242666764,7.007819328
200,0.1,100,50,6,0.675,0.675277778,0.412222222,0.474722222,0.53,0.584166667,pca,498.594043,0.010068235,2.236076963,0.225430773,0.242666764,7.007819328
200,0.1,100,50,10,0.7105,0.707666667,0.480666667,0.488833333,0.565333333,0.638,dw_pmad,498.594043,0.010068235,2.236076963,0.225430773,0.242666764,7.007819328
200,0.1,100,50,15,0.745777778,0.747444444,0.530555556,0.506222222,0.599333333,0.675777778,pca,498.594043,0.010068235,2.236076963,0.225430773,0.242666764,7.007819328
200,0.1,100,10000,1,0.565,0.55,0.146666667,0.238333333,0.435,0.458333333,dw_pmad,483.6593872,0.010310901,2.186112752,0.242377783,0.243917751,7.075897845
200,0.1,100,10000,3,0.593888889,0.608888889,0.301111111,0.362777778,0.473333333,0.53,pca,483.6593872,0.010310901,2.186112752,0.242377783,0.243917751,7.075897845
200,0.1,100,10000,6,0.6625,0.675277778,0.412222222,0.474722222,0.53,0.584166667,pca,483.6593872,0.010310901,2.186112752,0.242377783,0.243917751,7.075897845
200,0.1,100,10000,10,0.7065,0.707666667,0.480666667,0.488833333,0.565333333,0.638,pca,483.6593872,0.010310901,2.186112752,0.242377783,0.243917751,7.075897845
200,0.1,100,10000,15,0.738444444,0.747444444,0.530555556,0.506222222,0.599333333,0.675777778,pca,483.6593872,0.010310901,2.186112752,0.242377783,0.243917751,7.075897845
200,0.2,100,1,1,0.725,0.738333333,0.17,0.256666667,0.511666667,0.565,pca,1030.398434,0.586405885,2.377387818,0.756840969,0.356081946,8.51649939
200,0.2,100,1,3,0.762777778,0.758333333,0.31,0.402777778,0.570555556,0.61,dw_pmad,1030.398434,0.586405885,2.377387818,0.756840969,0.356081946,8.51649939
200,0.2,100,1,6,0.811388889,0.814166667,0.399166667,0.523333333,0.618055556,0.681666667,pca,1030.398434,0.586405885,2.377387818,0.756840969,0.356081946,8.51649939
200,0.2,100,1,10,0.8255,0.828666667,0.479833333,0.508833333,0.637833333,0.717833333,pca,1030.398434,0.586405885,2.377387818,0.756840969,0.356081946,8.51649939
200,0.2,100,1,15,0.848,0.850111111,0.537666667,0.520888889,0.658888889,0.754666667,pca,1030.398434,0.586405885,2.377387818,0.756840969,0.356081946,8.51649939
200,0.2,100,6,1,0.72,0.738333333,0.17,0.256666667,0.511666667,0.565,pca,1019.287579,0.528642201,2.425699258,0.330217964,0.269485389,7.305611368
200,0.2,100,6,3,0.758333333,0.758333333,0.31,0.402777778,0.570555556,0.61,dw_pmad,1019.287579,0.528642201,2.425699258,0.330217964,0.269485389,7.305611368
200,0.2,100,6,6,0.803888889,0.814166667,0.399166667,0.523333333,0.618055556,0.681666667,pca,1019.287579,0.528642201,2.425699258,0.330217964,0.269485389,7.305611368
200,0.2,100,6,10,0.824166667,0.828666667,0.479833333,0.508833333,0.637833333,0.717833333,pca,1019.287579,0.528642201,2.425699258,0.330217964,0.269485389,7.305611368
200,0.2,100,6,15,0.845333333,0.850111111,0.537666667,0.520888889,0.658888889,0.754666667,pca,1019.287579,0.528642201,2.425699258,0.330217964,0.269485389,7.305611368
200,0.2,100,12,1,0.735,0.738333333,0.17,0.256666667,0.511666667,0.565,pca,1056.291474,0.548696903,2.443665595,0.331010195,0.293334117,7.282408857
200,0.2,100,12,3,0.755,0.758333333,0.31,0.402777778,0.570555556,0.61,pca,1056.291474,0.548696903,2.443665595,0.331010195,0.293334117,7.282408857
200,0.2,100,12,6,0.810555556,0.814166667,0.399166667,0.523333333,0.618055556,0.681666667,pca,1056.291474,0.548696903,2.443665595,0.331010195,0.293334117,7.282408857
200,0.2,100,12,10,0.826666667,0.828666667,0.479833333,0.508833333,0.637833333,0.717833333,pca,1056.291474,0.548696903,2.443665595,0.331010195,0.293334117,7.282408857
200,0.2,100,12,15,0.847222222,0.850111111,0.537666667,0.520888889,0.658888889,0.754666667,pca,1056.291474,0.548696903,2.443665595,0.331010195,0.293334117,7.282408857
200,0.2,100,18,1,0.736666667,0.738333333,0.17,0.256666667,0.511666667,0.565,pca,1046.005918,0.381426401,2.440240028,0.422425364,0.238432328,8.423702105
200,0.2,100,18,3,0.756111111,0.758333333,0.31,0.402777778,0.570555556,0.61,pca,1046.005918,0.381426401,2.440240028,0.422425364,0.238432328,8.423702105
200,0.2,100,18,6,0.810555556,0.814166667,0.399166667,0.523333333,0.618055556,0.681666667,pca,1046.005918,0.381426401,2.440240028,0.422425364,0.238432328,8.423702105
200,0.2,100,18,10,0.8265,0.828666667,0.479833333,0.508833333,0.637833333,0.717833333,pca,1046.005918,0.381426401,2.440240028,0.422425364,0.238432328,8.423702105
200,0.2,100,18,15,0.846666667,0.850111111,0.537666667,0.520888889,0.658888889,0.754666667,pca,1046.005918,0.381426401,2.440240028,0.422425364,0.238432328,8.423702105
200,0.2,100,25,1,0.728333333,0.738333333,0.17,0.256666667,0.511666667,0.565,pca,1037.851522,0.267107156,2.405351719,0.370846846,0.328358622,8.98289758
200,0.2,100,25,3,0.757777778,0.758333333,0.31,0.402777778,0.570555556,0.61,pca,1037.851522,0.267107156,2.405351719,0.370846846,0.328358622,8.98289758
200,0.2,100,25,6,0.813055556,0.814166667,0.399166667,0.523333333,0.618055556,0.681666667,pca,1037.851522,0.267107156,2.405351719,0.370846846,0.328358622,8.98289758
200,0.2,100,25,10,0.8275,0.828666667,0.479833333,0.508833333,0.637833333,0.717833333,pca,1037.851522,0.267107156,2.405351719,0.370846846,0.328358622,8.98289758
200,0.2,100,25,15,0.846444444,0.850111111,0.537666667,0.520888889,0.658888889,0.754666667,pca,1037.851522,0.267107156,2.405351719,0.370846846,0.328358622,8.98289758
200,0.2,100,35,1,0.718333333,0.738333333,0.17,0.256666667,0.511666667,0.565,pca,1030.268583,0.343258421,2.376101317,2.56327757,0.274775217,7.213280381
200,0.2,100,35,3,0.761111111,0.758333333,0.31,0.402777778,0.570555556,0.61,dw_pmad,1030.268583,0.343258421,2.376101317,2.56327757,0.274775217,7.213280381
200,0.2,100,35,6,0.809166667,0.814166667,0.399166667,0.523333333,0.618055556,0.681666667,pca,1030.268583,0.343258421,2.376101317,2.56327757,0.274775217,7.213280381
200,0.2,100,35,10,0.826666667,0.828666667,0.479833333,0.508833333,0.637833333,0.717833333,pca,1030.268583,0.343258421,2.376101317,2.56327757,0.274775217,7.213280381
200,0.2,100,35,15,0.847111111,0.850111111,0.537666667,0.520888889,0.658888889,0.754666667,pca,1030.268583,0.343258421,2.376101317,2.56327757,0.274775217,7.213280381
200,0.2,100,50,1,0.713333333,0.738333333,0.17,0.256666667,0.511666667,0.565,pca,1033.129452,0.590817851,2.418175026,2.975653141,0.378705514,7.153067023
200,0.2,100,50,3,0.761666667,0.758333333,0.31,0.402777778,0.570555556,0.61,dw_pmad,1033.129452,0.590817851,2.418175026,2.975653141,0.378705514,7.153067023
200,0.2,100,50,6,0.808055556,0.814166667,0.399166667,0.523333333,0.618055556,0.681666667,pca,1033.129452,0.590817851,2.418175026,2.975653141,0.378705514,7.153067023
200,0.2,100,50,10,0.825166667,0.828666667,0.479833333,0.508833333,0.637833333,0.717833333,pca,1033.129452,0.590817851,2.418175026,2.975653141,0.378705514,7.153067023
200,0.2,100,50,15,0.843333333,0.850111111,0.537666667,0.520888889,0.658888889,0.754666667,pca,1033.129452,0.590817851,2.418175026,2.975653141,0.378705514,7.153067023
200,0.2,100,10000,1,0.718333333,0.738333333,0.17,0.256666667,0.511666667,0.565,pca,947.3453476,0.337086832,2.400634296,0.263765735,0.275249698,7.22835461
200,0.2,100,10000,3,0.756111111,0.758333333,0.31,0.402777778,0.570555556,0.61,pca,947.3453476,0.337086832,2.400634296,0.263765735,0.275249698,7.22835461
200,0.2,100,10000,6,0.799444444,0.814166667,0.399166667,0.523333333,0.618055556,0.681666667,pca,947.3453476,0.337086832,2.400634296,0.263765735,0.275249698,7.22835461
200,0.2,100,10000,10,0.819166667,0.828666667,0.479833333,0.508833333,0.637833333,0.717833333,pca,947.3453476,0.337086832,2.400634296,0.263765735,0.275249698,7.22835461
200,0.2,100,10000,15,0.837,0.850111111,0.537666667,0.520888889,0.658888889,0.754666667,pca,947.3453476,0.337086832,2.400634296,0.263765735,0.275249698,7.22835461
200,0.4,100,1,1,0.876666667,0.876666667,0.155,0.276666667,0.623333333,0.601666667,dw_pmad,2119.981699,0.66947204,2.916326804,0.267775663,0.271968881,7.919743271
200,0.4,100,1,3,0.883888889,0.888333333,0.303333333,0.43,0.661666667,0.670555556,pca,2119.981699,0.66947204,2.916326804,0.267775663,0.271968881,7.919743271
200,0.4,100,1,6,0.916944444,0.919166667,0.401388889,0.550555556,0.696388889,0.734444444,pca,2119.981699,0.66947204,2.916326804,0.267775663,0.271968881,7.919743271
200,0.4,100,1,10,0.921666667,0.920833333,0.478,0.522666667,0.713,0.770166667,dw_pmad,2119.981699,0.66947204,2.916326804,0.267775663,0.271968881,7.919743271
