Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Fasttext,LLE,298,29,6,0.14027777777777778,0.16754249998484738
Fasttext,LLE,298,29,10,0.14033333333333334,0.16754249998484738
Fasttext,LLE,298,29,15,0.13255555555555557,0.16754249998484738
Fasttext,LLE,298,59,1,0.155,0.15067040000576526
Fasttext,LLE,298,59,3,0.16277777777777777,0.15067040000576526
Fasttext,LLE,298,59,6,0.14472222222222222,0.15067040000576526
Fasttext,LLE,298,59,10,0.13233333333333333,0.15067040000576526
Fasttext,LLE,298,59,15,0.11666666666666667,0.15067040000576526
Fasttext,LLE,298,119,1,0.20666666666666667,0.1635670000105165
Fasttext,LLE,298,119,3,0.20333333333333334,0.1635670000105165
Fasttext,LLE,298,119,6,0.16083333333333333,0.1635670000105165
Fasttext,LLE,298,119,10,0.13083333333333333,0.1635670000105165
Fasttext,LLE,298,119,15,0.105,0.1635670000105165
Fasttext,LLE,298,178,1,0.37833333333333335,0.17268760001752526
Fasttext,LLE,298,178,3,0.32055555555555554,0.17268760001752526
Fasttext,LLE,298,178,6,0.24666666666666667,0.17268760001752526
Fasttext,LLE,298,178,10,0.19916666666666666,0.17268760001752526
Fasttext,LLE,298,178,15,0.16655555555555557,0.17268760001752526
Fasttext,Autoencoder,298,14,1,0.065,0.8450254999916069
Fasttext,Autoencoder,298,14,3,0.105,0.8450254999916069
Fasttext,Autoencoder,298,14,6,0.1338888888888889,0.8450254999916069
Fasttext,Autoencoder,298,14,10,0.15683333333333332,0.8450254999916069
Fasttext,Autoencoder,298,14,15,0.18388888888888888,0.8450254999916069
Fasttext,Autoencoder,298,29,1,0.14666666666666667,0.8432121999794617
Fasttext,Autoencoder,298,29,3,0.21333333333333335,0.8432121999794617
Fasttext,Autoencoder,298,29,6,0.2452777777777778,0.8432121999794617
Fasttext,Autoencoder,298,29,10,0.25833333333333336,0.8432121999794617
Fasttext,Autoencoder,298,29,15,0.2841111111111111,0.8432121999794617
Fasttext,Autoencoder,298,59,1,0.245,0.8896263999922667
Fasttext,Autoencoder,298,59,3,0.3022222222222222,0.8896263999922667
Fasttext,Autoencoder,298,59,6,0.32222222222222224,0.8896263999922667
Fasttext,Autoencoder,298,59,10,0.3516666666666667,0.8896263999922667
Fasttext,Autoencoder,298,59,15,0.37555555555555553,0.8896263999922667
Fasttext,Autoencoder,298,119,1,0.37833333333333335,0.8870843999902718
Fasttext,Autoencoder,298,119,3,0.43277777777777776,0.8870843999902718
Fasttext,Autoencoder,298,119,6,0.45472222222222225,0.8870843999902718
Fasttext,Autoencoder,298,119,10,0.468,0.8870843999902718
Fasttext,Autoencoder,298,119,15,0.4871111111111111,0.8870843999902718
Fasttext,Autoencoder,298,178,1,0.42,0.8828385999950115
Fasttext,Autoencoder,298,178,3,0.48777777777777775,0.8828385999950115
Fasttext,Autoencoder,298,178,6,0.5130555555555556,0.8828385999950115
Fasttext,Autoencoder,298,178,10,0.5343333333333333,0.8828385999950115
Fasttext,Autoencoder,298,178,15,0.5523333333333333,0.8828385999950115
Fasttext,VAE,298,14,1,0.12166666666666667,1.3886227999755647
Fasttext,VAE,298,14,3,0.19277777777777777,1.3886227999755647
Fasttext,VAE,298,14,6,0.21305555555555555,1.3886227999755647
Fasttext,VAE,298,14,10,0.251,1.3886227999755647
Fasttext,VAE,298,14,15,0.2803333333333333,1.3886227999755647
Fasttext,VAE,298,29,1,0.20166666666666666,1.1886768999975175
Fasttext,VAE,298,29,3,0.2688888888888889,1.1886768999975175
Fasttext,VAE,298,29,6,0.29138888888888886,1.1886768999975175
Fasttext,VAE,298,29,10,0.32216666666666666,1.1886768999975175
Fasttext,VAE,298,29,15,0.3477777777777778,1.1886768999975175
Fasttext,VAE,298,59,1,0.22833333333333333,1.4948987000097986
Fasttext,VAE,298,59,3,0.275,1.4948987000097986
Fasttext,VAE,298,59,6,0.30777777777777776,1.4948987000097986
Fasttext,VAE,298,59,10,0.3308333333333333,1.4948987000097986
Fasttext,VAE,298,59,15,0.34955555555555556,1.4948987000097986
Fasttext,VAE,298,119,1,0.19166666666666668,1.2768549000029452
Fasttext,VAE,298,119,3,0.26222222222222225,1.2768549000029452
Fasttext,VAE,298,119,6,0.285,1.2768549000029452
Fasttext,VAE,298,119,10,0.30866666666666664,1.2768549000029452
Fasttext,VAE,298,119,15,0.32722222222222225,1.2768549000029452
Fasttext,VAE,298,178,1,0.18,1.2823906999838073
Fasttext,VAE,298,178,3,0.20555555555555555,1.2823906999838073
Fasttext,VAE,298,178,6,0.2338888888888889,1.2823906999838073
Fasttext,VAE,298,178,10,0.25933333333333336,1.2823906999838073
Fasttext,VAE,298,178,15,0.2811111111111111,1.2823906999838073
Fasttext,FeatureAgglomeration,298,14,1,0.08666666666666667,0.01382340001873672
Fasttext,FeatureAgglomeration,298,14,3,0.1272222222222222,0.01382340001873672
Fasttext,FeatureAgglomeration,298,14,6,0.14722222222222223,0.01382340001873672
Fasttext,FeatureAgglomeration,298,14,10,0.15733333333333333,0.01382340001873672
Fasttext,FeatureAgglomeration,298,14,15,0.1701111111111111,0.01382340001873672
Fasttext,FeatureAgglomeration,298,29,1,0.21166666666666667,0.015308300004107878
Fasttext,FeatureAgglomeration,298,29,3,0.25222222222222224,0.015308300004107878
Fasttext,FeatureAgglomeration,298,29,6,0.2811111111111111,0.015308300004107878
Fasttext,FeatureAgglomeration,298,29,10,0.30083333333333334,0.015308300004107878
Fasttext,FeatureAgglomeration,298,29,15,0.32155555555555554,0.015308300004107878
Fasttext,FeatureAgglomeration,298,59,1,0.3516666666666667,0.013398899987805635
Fasttext,FeatureAgglomeration,298,59,3,0.4216666666666667,0.013398899987805635
Fasttext,FeatureAgglomeration,298,59,6,0.43944444444444447,0.013398899987805635
Fasttext,FeatureAgglomeration,298,59,10,0.45966666666666667,0.013398899987805635
Fasttext,FeatureAgglomeration,298,59,15,0.4855555555555556,0.013398899987805635
Fasttext,FeatureAgglomeration,298,119,1,0.55,0.020118199987336993
Fasttext,FeatureAgglomeration,298,119,3,0.5927777777777777,0.020118199987336993
Fasttext,FeatureAgglomeration,298,119,6,0.6102777777777778,0.020118199987336993
Fasttext,FeatureAgglomeration,298,119,10,0.6283333333333333,0.020118199987336993
Fasttext,FeatureAgglomeration,298,119,15,0.6504444444444445,0.020118199987336993
Fasttext,FeatureAgglomeration,298,178,1,0.6383333333333333,0.014112600008957088
Fasttext,FeatureAgglomeration,298,178,3,0.6555555555555556,0.014112600008957088
Fasttext,FeatureAgglomeration,298,178,6,0.6625,0.014112600008957088
Fasttext,FeatureAgglomeration,298,178,10,0.6806666666666666,0.014112600008957088
Fasttext,FeatureAgglomeration,298,178,15,0.7036666666666667,0.014112600008957088
