Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Isolet,Autoencoder,200,10,3,0.24444444444444444,1.1104782999900635
Isolet,Autoencoder,200,10,6,0.2997222222222222,1.1104782999900635
Isolet,Autoencoder,200,10,10,0.3611666666666667,1.1104782999900635
Isolet,Autoencoder,200,10,15,0.4102222222222222,1.1104782999900635
Isolet,Autoencoder,200,20,1,0.32,0.8228628999786451
Isolet,Autoencoder,200,20,3,0.3688888888888889,0.8228628999786451
Isolet,Autoencoder,200,20,6,0.42833333333333334,0.8228628999786451
Isolet,Autoencoder,200,20,10,0.477,0.8228628999786451
Isolet,Autoencoder,200,20,15,0.5245555555555556,0.8228628999786451
Isolet,Autoencoder,200,40,1,0.4083333333333333,0.9022997000138275
Isolet,Autoencoder,200,40,3,0.45944444444444443,0.9022997000138275
Isolet,Autoencoder,200,40,6,0.5530555555555555,0.9022997000138275
Isolet,Autoencoder,200,40,10,0.5868333333333333,0.9022997000138275
Isolet,Autoencoder,200,40,15,0.631,0.9022997000138275
Isolet,Autoencoder,200,80,1,0.5533333333333333,0.816781000001356
Isolet,Autoencoder,200,80,3,0.6027777777777777,0.816781000001356
Isolet,Autoencoder,200,80,6,0.6602777777777777,0.816781000001356
Isolet,Autoencoder,200,80,10,0.6871666666666667,0.816781000001356
Isolet,Autoencoder,200,80,15,0.7112222222222222,0.816781000001356
Isolet,Autoencoder,200,120,1,0.5966666666666667,1.01286170000094
Isolet,Autoencoder,200,120,3,0.6594444444444445,1.01286170000094
Isolet,Autoencoder,200,120,6,0.7066666666666667,1.01286170000094
Isolet,Autoencoder,200,120,10,0.7296666666666667,1.01286170000094
Isolet,Autoencoder,200,120,15,0.7482222222222222,1.01286170000094
Isolet,VAE,200,10,1,0.3283333333333333,1.1699553000216838
Isolet,VAE,200,10,3,0.3655555555555556,1.1699553000216838
Isolet,VAE,200,10,6,0.43694444444444447,1.1699553000216838
Isolet,VAE,200,10,10,0.497,1.1699553000216838
Isolet,VAE,200,10,15,0.5403333333333333,1.1699553000216838
Isolet,VAE,200,20,1,0.4266666666666667,1.6075768000155222
Isolet,VAE,200,20,3,0.4666666666666667,1.6075768000155222
Isolet,VAE,200,20,6,0.5302777777777777,1.6075768000155222
Isolet,VAE,200,20,10,0.5761666666666667,1.6075768000155222
Isolet,VAE,200,20,15,0.6138888888888889,1.6075768000155222
Isolet,VAE,200,40,1,0.4533333333333333,1.401260699989507
Isolet,VAE,200,40,3,0.49833333333333335,1.401260699989507
Isolet,VAE,200,40,6,0.5708333333333333,1.401260699989507
Isolet,VAE,200,40,10,0.6026666666666667,1.401260699989507
Isolet,VAE,200,40,15,0.6377777777777778,1.401260699989507
Isolet,VAE,200,80,1,0.4483333333333333,1.2884159999957774
Isolet,VAE,200,80,3,0.5138888888888888,1.2884159999957774
Isolet,VAE,200,80,6,0.5819444444444445,1.2884159999957774
Isolet,VAE,200,80,10,0.6266666666666667,1.2884159999957774
Isolet,VAE,200,80,15,0.6572222222222223,1.2884159999957774
Isolet,VAE,200,120,1,0.43333333333333335,1.237768299994059
Isolet,VAE,200,120,3,0.5222222222222223,1.237768299994059
Isolet,VAE,200,120,6,0.5866666666666667,1.237768299994059
Isolet,VAE,200,120,10,0.6216666666666667,1.237768299994059
Isolet,VAE,200,120,15,0.6516666666666666,1.237768299994059
Isolet,FeatureAgglomeration,200,10,1,0.3016666666666667,0.029026900010649115
Isolet,FeatureAgglomeration,200,10,3,0.35388888888888886,0.029026900010649115
Isolet,FeatureAgglomeration,200,10,6,0.4102777777777778,0.029026900010649115
Isolet,FeatureAgglomeration,200,10,10,0.45316666666666666,0.029026900010649115
Isolet,FeatureAgglomeration,200,10,15,0.49577777777777776,0.029026900010649115
Isolet,FeatureAgglomeration,200,20,1,0.44,0.009188600000925362
Isolet,FeatureAgglomeration,200,20,3,0.4861111111111111,0.009188600000925362
Isolet,FeatureAgglomeration,200,20,6,0.5280555555555555,0.009188600000925362
Isolet,FeatureAgglomeration,200,20,10,0.569,0.009188600000925362
Isolet,FeatureAgglomeration,200,20,15,0.6095555555555555,0.009188600000925362
Isolet,FeatureAgglomeration,200,40,1,0.5816666666666667,0.008374900004127994
Isolet,FeatureAgglomeration,200,40,3,0.6033333333333334,0.008374900004127994
Isolet,FeatureAgglomeration,200,40,6,0.6780555555555555,0.008374900004127994
Isolet,FeatureAgglomeration,200,40,10,0.6988333333333333,0.008374900004127994
Isolet,FeatureAgglomeration,200,40,15,0.7235555555555555,0.008374900004127994
Isolet,FeatureAgglomeration,200,80,1,0.6116666666666667,0.008596700005000457
Isolet,FeatureAgglomeration,200,80,3,0.6438888888888888,0.008596700005000457
Isolet,FeatureAgglomeration,200,80,6,0.6922222222222222,0.008596700005000457
Isolet,FeatureAgglomeration,200,80,10,0.716,0.008596700005000457
Isolet,FeatureAgglomeration,200,80,15,0.7333333333333333,0.008596700005000457
Isolet,FeatureAgglomeration,200,120,1,0.7083333333333334,0.00944520000484772
Isolet,FeatureAgglomeration,200,120,3,0.7394444444444445,0.00944520000484772
Isolet,FeatureAgglomeration,200,120,6,0.7816666666666666,0.00944520000484772
Isolet,FeatureAgglomeration,200,120,10,0.7958333333333333,0.00944520000484772
Isolet,FeatureAgglomeration,200,120,15,0.8054444444444444,0.00944520000484772
