Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Arcene,NMF,200,80,6,0.4107744107744108,3.5895874999987427
Arcene,NMF,200,80,10,0.4521885521885522,3.5895874999987427
Arcene,NMF,200,80,15,0.47744107744107744,3.5895874999987427
Arcene,NMF,200,120,1,0.24915824915824916,7.869459399982588
Arcene,NMF,200,120,3,0.3108866442199775,7.869459399982588
Arcene,NMF,200,120,6,0.3226711560044893,7.869459399982588
Arcene,NMF,200,120,10,0.3501683501683502,7.869459399982588
Arcene,NMF,200,120,15,0.37351290684624017,7.869459399982588
Arcene,LLE,200,10,1,0.030303030303030304,0.11785930002224632
Arcene,LLE,200,10,3,0.08305274971941638,0.11785930002224632
Arcene,LLE,200,10,6,0.12906846240179573,0.11785930002224632
Arcene,LLE,200,10,10,0.18552188552188553,0.11785930002224632
Arcene,LLE,200,10,15,0.23815937149270483,0.11785930002224632
Arcene,LLE,200,20,1,0.06734006734006734,0.11243899998953566
Arcene,LLE,200,20,3,0.1111111111111111,0.11243899998953566
Arcene,LLE,200,20,6,0.16498316498316498,0.11243899998953566
Arcene,LLE,200,20,10,0.21851851851851853,0.11243899998953566
Arcene,LLE,200,20,15,0.2520763187429854,0.11243899998953566
Arcene,LLE,200,40,1,0.08417508417508418,0.1118793000059668
Arcene,LLE,200,40,3,0.13692480359147025,0.1118793000059668
Arcene,LLE,200,40,6,0.18125701459034793,0.1118793000059668
Arcene,LLE,200,40,10,0.21077441077441078,0.1118793000059668
Arcene,LLE,200,40,15,0.22962962962962963,0.1118793000059668
Arcene,LLE,200,80,1,0.13131313131313133,0.11339959999895655
Arcene,LLE,200,80,3,0.15039281705948374,0.11339959999895655
Arcene,LLE,200,80,6,0.1840628507295174,0.11339959999895655
Arcene,LLE,200,80,10,0.18888888888888888,0.11339959999895655
Arcene,LLE,200,80,15,0.1750841750841751,0.11339959999895655
Arcene,LLE,200,120,1,0.12794612794612795,0.1158504999766592
Arcene,LLE,200,120,3,0.17845117845117844,0.1158504999766592
Arcene,LLE,200,120,6,0.18574635241301907,0.1158504999766592
Arcene,LLE,200,120,10,0.17407407407407408,0.1158504999766592
Arcene,LLE,200,120,15,0.15308641975308643,0.1158504999766592
Arcene,Autoencoder,200,10,1,0.07407407407407407,1.0894530999939889
Arcene,Autoencoder,200,10,3,0.14927048260381592,1.0894530999939889
Arcene,Autoencoder,200,10,6,0.1936026936026936,1.0894530999939889
Arcene,Autoencoder,200,10,10,0.25555555555555554,1.0894530999939889
Arcene,Autoencoder,200,10,15,0.2924803591470258,1.0894530999939889
Arcene,Autoencoder,200,20,1,0.11447811447811448,0.7814845999819227
Arcene,Autoencoder,200,20,3,0.19753086419753085,0.7814845999819227
Arcene,Autoencoder,200,20,6,0.2783389450056117,0.7814845999819227
Arcene,Autoencoder,200,20,10,0.3383838383838384,0.7814845999819227
Arcene,Autoencoder,200,20,15,0.3907968574635241,0.7814845999819227
Arcene,Autoencoder,200,40,1,0.19865319865319866,0.8255883000092581
Arcene,Autoencoder,200,40,3,0.2996632996632997,0.8255883000092581
Arcene,Autoencoder,200,40,6,0.3782267115600449,0.8255883000092581
Arcene,Autoencoder,200,40,10,0.4383838383838384,0.8255883000092581
Arcene,Autoencoder,200,40,15,0.48327721661054995,0.8255883000092581
Arcene,Autoencoder,200,80,1,0.3569023569023569,0.9966380000114441
Arcene,Autoencoder,200,80,3,0.4500561167227834,0.9966380000114441
Arcene,Autoencoder,200,80,6,0.5028058361391695,0.9966380000114441
Arcene,Autoencoder,200,80,10,0.5589225589225589,0.9966380000114441
Arcene,Autoencoder,200,80,15,0.6038159371492705,0.9966380000114441
Arcene,Autoencoder,200,120,1,0.41414141414141414,0.8902092000062112
Arcene,Autoencoder,200,120,3,0.510662177328844,0.8902092000062112
Arcene,Autoencoder,200,120,6,0.569023569023569,0.8902092000062112
Arcene,Autoencoder,200,120,10,0.6380471380471381,0.8902092000062112
Arcene,Autoencoder,200,120,15,0.677665544332211,0.8902092000062112
Arcene,VAE,200,10,1,0.13131313131313133,1.1677611999912187
Arcene,VAE,200,10,3,0.21997755331088664,1.1677611999912187
Arcene,VAE,200,10,6,0.29124579124579125,1.1677611999912187
Arcene,VAE,200,10,10,0.34814814814814815,1.1677611999912187
Arcene,VAE,200,10,15,0.3982042648709315,1.1677611999912187
Arcene,VAE,200,20,1,0.1919191919191919,1.3741706000000704
Arcene,VAE,200,20,3,0.27048260381593714,1.3741706000000704
Arcene,VAE,200,20,6,0.33557800224466894,1.3741706000000704
Arcene,VAE,200,20,10,0.4101010101010101,1.3741706000000704
Arcene,VAE,200,20,15,0.4531986531986532,1.3741706000000704
Arcene,VAE,200,40,1,0.24915824915824916,1.2195129999890924
Arcene,VAE,200,40,3,0.32323232323232326,1.2195129999890924
Arcene,VAE,200,40,6,0.4068462401795735,1.2195129999890924
Arcene,VAE,200,40,10,0.46094276094276093,1.2195129999890924
Arcene,VAE,200,40,15,0.5070707070707071,1.2195129999890924
Arcene,VAE,200,80,1,0.29292929292929293,1.299041499994928
Arcene,VAE,200,80,3,0.36251402918069586,1.299041499994928
