Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
PBMC3k,Autoencoder,200,10,3,0.10611111111111111,0.7325952000101097
PBMC3k,Autoencoder,200,10,6,0.08583333333333333,0.7325952000101097
PBMC3k,Autoencoder,200,10,10,0.09633333333333334,0.7325952000101097
PBMC3k,Autoencoder,200,10,15,0.11044444444444444,0.7325952000101097
PBMC3k,Autoencoder,200,20,1,0.26166666666666666,0.763772100006463
PBMC3k,Autoencoder,200,20,3,0.15055555555555555,0.763772100006463
PBMC3k,Autoencoder,200,20,6,0.1502777777777778,0.763772100006463
PBMC3k,Autoencoder,200,20,10,0.16333333333333333,0.763772100006463
PBMC3k,Autoencoder,200,20,15,0.18655555555555556,0.763772100006463
PBMC3k,Autoencoder,200,40,1,0.315,0.7842712000128813
PBMC3k,Autoencoder,200,40,3,0.2088888888888889,0.7842712000128813
PBMC3k,Autoencoder,200,40,6,0.21805555555555556,0.7842712000128813
PBMC3k,Autoencoder,200,40,10,0.23883333333333334,0.7842712000128813
PBMC3k,Autoencoder,200,40,15,0.2653333333333333,0.7842712000128813
PBMC3k,Autoencoder,200,80,1,0.4166666666666667,0.7620355000253767
PBMC3k,Autoencoder,200,80,3,0.3527777777777778,0.7620355000253767
PBMC3k,Autoencoder,200,80,6,0.3636111111111111,0.7620355000253767
PBMC3k,Autoencoder,200,80,10,0.37883333333333336,0.7620355000253767
PBMC3k,Autoencoder,200,80,15,0.403,0.7620355000253767
PBMC3k,Autoencoder,200,120,1,0.4766666666666667,0.9484379999921657
PBMC3k,Autoencoder,200,120,3,0.43444444444444447,0.9484379999921657
PBMC3k,Autoencoder,200,120,6,0.4363888888888889,0.9484379999921657
PBMC3k,Autoencoder,200,120,10,0.465,0.9484379999921657
PBMC3k,Autoencoder,200,120,15,0.4892222222222222,0.9484379999921657
PBMC3k,VAE,200,10,1,0.26166666666666666,1.0969219999969937
PBMC3k,VAE,200,10,3,0.15222222222222223,1.0969219999969937
PBMC3k,VAE,200,10,6,0.13333333333333333,1.0969219999969937
PBMC3k,VAE,200,10,10,0.14333333333333334,1.0969219999969937
PBMC3k,VAE,200,10,15,0.16666666666666666,1.0969219999969937
PBMC3k,VAE,200,20,1,0.30666666666666664,1.2653707999852486
PBMC3k,VAE,200,20,3,0.19277777777777777,1.2653707999852486
PBMC3k,VAE,200,20,6,0.18638888888888888,1.2653707999852486
PBMC3k,VAE,200,20,10,0.2015,1.2653707999852486
PBMC3k,VAE,200,20,15,0.2291111111111111,1.2653707999852486
PBMC3k,VAE,200,40,1,0.33,1.1715679000189994
PBMC3k,VAE,200,40,3,0.21722222222222223,1.1715679000189994
PBMC3k,VAE,200,40,6,0.22722222222222221,1.1715679000189994
PBMC3k,VAE,200,40,10,0.25366666666666665,1.1715679000189994
PBMC3k,VAE,200,40,15,0.2767777777777778,1.1715679000189994
PBMC3k,VAE,200,80,1,0.3433333333333333,1.1892548999749124
PBMC3k,VAE,200,80,3,0.25166666666666665,1.1892548999749124
PBMC3k,VAE,200,80,6,0.26305555555555554,1.1892548999749124
PBMC3k,VAE,200,80,10,0.28733333333333333,1.1892548999749124
PBMC3k,VAE,200,80,15,0.31666666666666665,1.1892548999749124
PBMC3k,VAE,200,120,1,0.35333333333333333,1.3761527000169735
PBMC3k,VAE,200,120,3,0.25277777777777777,1.3761527000169735
PBMC3k,VAE,200,120,6,0.2513888888888889,1.3761527000169735
PBMC3k,VAE,200,120,10,0.274,1.3761527000169735
PBMC3k,VAE,200,120,15,0.30133333333333334,1.3761527000169735
PBMC3k,FeatureAgglomeration,200,10,1,0.255,0.008509000006597489
PBMC3k,FeatureAgglomeration,200,10,3,0.12611111111111112,0.008509000006597489
PBMC3k,FeatureAgglomeration,200,10,6,0.10611111111111111,0.008509000006597489
PBMC3k,FeatureAgglomeration,200,10,10,0.1075,0.008509000006597489
PBMC3k,FeatureAgglomeration,200,10,15,0.11944444444444445,0.008509000006597489
PBMC3k,FeatureAgglomeration,200,20,1,0.28,0.008868200005963445
PBMC3k,FeatureAgglomeration,200,20,3,0.16722222222222222,0.008868200005963445
PBMC3k,FeatureAgglomeration,200,20,6,0.15638888888888888,0.008868200005963445
PBMC3k,FeatureAgglomeration,200,20,10,0.17033333333333334,0.008868200005963445
PBMC3k,FeatureAgglomeration,200,20,15,0.18822222222222224,0.008868200005963445
PBMC3k,FeatureAgglomeration,200,40,1,0.32666666666666666,0.008299399982206523
PBMC3k,FeatureAgglomeration,200,40,3,0.23722222222222222,0.008299399982206523
PBMC3k,FeatureAgglomeration,200,40,6,0.23527777777777778,0.008299399982206523
PBMC3k,FeatureAgglomeration,200,40,10,0.2645,0.008299399982206523
PBMC3k,FeatureAgglomeration,200,40,15,0.2891111111111111,0.008299399982206523
PBMC3k,FeatureAgglomeration,200,80,1,0.4666666666666667,0.008319599990500137
PBMC3k,FeatureAgglomeration,200,80,3,0.395,0.008319599990500137
PBMC3k,FeatureAgglomeration,200,80,6,0.4091666666666667,0.008319599990500137
PBMC3k,FeatureAgglomeration,200,80,10,0.44383333333333336,0.008319599990500137
PBMC3k,FeatureAgglomeration,200,80,15,0.4736666666666667,0.008319599990500137
PBMC3k,FeatureAgglomeration,200,120,1,0.47333333333333333,0.00847329999669455
PBMC3k,FeatureAgglomeration,200,120,3,0.4361111111111111,0.00847329999669455
PBMC3k,FeatureAgglomeration,200,120,6,0.45666666666666667,0.00847329999669455
PBMC3k,FeatureAgglomeration,200,120,10,0.48633333333333334,0.00847329999669455
PBMC3k,FeatureAgglomeration,200,120,15,0.5242222222222223,0.00847329999669455
